objectid,parentid,title,field_edtf_date,field_description_long,field_linked_agent,field_physical_form,field_genre,field_extent,field_language,field_subject,field_subjects_name,field_geographic_subject,field_temporal_subject,field_use_reproduction,field_rights_statement,field_collection_guide,field_shelf_locator,field_local_identifier,field_note,field_member_of,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,image_alt_text,notes
scpc-dg038_scroll_02,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 1,,,,,,,,,,,,,,,,scpc:DG038_scroll_02,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525299-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525299-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525299-Service%20File.jpg,,,DG038_scroll_02.tif
scpc-dg038_scroll_03,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 2,,,,,,,,,,,,,,,,scpc:DG038_scroll_03,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525300-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525300-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525300-Service%20File.jpg,,,DG038_scroll_03.tif
scpc-dg038_scroll_04,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 3,,,,,,,,,,,,,,,,scpc:DG038_scroll_04,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525301-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525301-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525301-Service%20File.jpg,,,DG038_scroll_04.tif
scpc-dg038_scroll_05,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 4,,,,,,,,,,,,,,,,scpc:DG038_scroll_05,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525302-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525302-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525302-Service%20File.jpg,,,DG038_scroll_05.tif
scpc-dg038_scroll_06,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 5,,,,,,,,,,,,,,,,scpc:DG038_scroll_06,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525303-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525303-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525303-Service%20File.jpg,,,DG038_scroll_06.tif
scpc-dg038_scroll_07,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 6,,,,,,,,,,,,,,,,scpc:DG038_scroll_07,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525304-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525304-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525304-Service%20File.jpg,,,DG038_scroll_07.tif
scpc-dg038_scroll_08,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 7,,,,,,,,,,,,,,,,scpc:DG038_scroll_08,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525305-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525305-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525305-Service%20File.jpg,,,DG038_scroll_08.tif
scpc-dg038_scroll_09,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 8,,,,,,,,,,,,,,,,scpc:DG038_scroll_09,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525306-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525306-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525306-Service%20File.jpg,,,DG038_scroll_09.tif
scpc-dg038_scroll_10,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 9,,,,,,,,,,,,,,,,scpc:DG038_scroll_10,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525307-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525307-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525307-Service%20File.jpg,,,DG038_scroll_10.tif
scpc-dg038_scroll_11,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 10,,,,,,,,,,,,,,,,scpc:DG038_scroll_11,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525308-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525308-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525308-Service%20File.jpg,,,DG038_scroll_11.tif
scpc-dg038_scroll_12,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 11,,,,,,,,,,,,,,,,scpc:DG038_scroll_12,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525309-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525309-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525309-Service%20File.jpg,,,DG038_scroll_12.tif
scpc-dg038_scroll_13,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 12,,,,,,,,,,,,,,,,scpc:DG038_scroll_13,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525310-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525310-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525310-Service%20File.jpg,,,DG038_scroll_13.tif
scpc-dg038_scroll_14,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 13,,,,,,,,,,,,,,,,scpc:DG038_scroll_14,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525311-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525311-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525311-Service%20File.jpg,,,DG038_scroll_14.tif
scpc-dg038_scroll_15,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 14,,,,,,,,,,,,,,,,scpc:DG038_scroll_15,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525312-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525312-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525312-Service%20File.jpg,,,DG038_scroll_15.tif
scpc-dg038_scroll_16,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 15,,,,,,,,,,,,,,,,scpc:DG038_scroll_16,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525313-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525313-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525313-Service%20File.jpg,,,DG038_scroll_16.tif
scpc-dg038_scroll_17,scpc-dg038_scroll_01,Signatures on Exeter Scoll - page 16,,,,,,,,,,,,,,,,scpc:DG038_scroll_17,,,Image;StillImage,application/jpg,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525314-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525314-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525314-Service%20File.jpg,,,DG038_scroll_17.tif
